{'file': 'orbit_p0.1400.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 4.0, 'e': 0.0, 'apapse': False, 'm_P (Msun)': 0.028637827019079753, 'l (rad)': 0.0, 'a (AU)': 0.14, 't_stop (day)': 1633478.507816798, 'stability': 'ST'}
{'file': 'orbit_p0.1500.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 4.0, 'e': 0.0, 'apapse': False, 'm_P (Msun)': 0.028637827019079753, 'l (rad)': 0.0, 'a (AU)': 0.15, 't_stop (day)': 1633478.507816798, 'stability': 'ST'}
{'file': 'orbit_p0.1600.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 4.0, 'e': 0.0, 'apapse': False, 'm_P (Msun)': 0.028637827019079753, 'l (rad)': 0.0, 'a (AU)': 0.16, 't_stop (day)': 1633478.507816798, 'stability': 'ST'}
{'file': 'orbit_p0.1700.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 4.0, 'e': 0.0, 'apapse': False, 'm_P (Msun)': 0.028637827019079753, 'l (rad)': 0.0, 'a (AU)': 0.17, 't_stop (day)': 1633478.507816798, 'stability': 'ST'}
{'file': 'orbit_p0.1800.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 4.0, 'e': 0.0, 'apapse': False, 'm_P (Msun)': 0.028637827019079753, 'l (rad)': 0.0, 'a (AU)': 0.18, 't_stop (day)': 1633478.507816798, 'stability': 'ST'}
{'file': 'orbit_a0.1400.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 4.0, 'e': 0.0, 'apapse': True, 'm_P (Msun)': 0.028637827019079753, 'l (rad)': 0.0, 'a (AU)': 0.14, 't_stop (day)': 1633478.507816798, 'stability': 'ST'}
{'file': 'orbit_a0.1500.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 4.0, 'e': 0.0, 'apapse': True, 'm_P (Msun)': 0.028637827019079753, 'l (rad)': 0.0, 'a (AU)': 0.15, 't_stop (day)': 1633478.507816798, 'stability': 'ST'}
{'file': 'orbit_a0.1600.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 4.0, 'e': 0.0, 'apapse': True, 'm_P (Msun)': 0.028637827019079753, 'l (rad)': 0.0, 'a (AU)': 0.16, 't_stop (day)': 1633478.507816798, 'stability': 'ST'}
{'file': 'orbit_a0.1700.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 4.0, 'e': 0.0, 'apapse': True, 'm_P (Msun)': 0.028637827019079753, 'l (rad)': 0.0, 'a (AU)': 0.17, 't_stop (day)': 1633478.507816798, 'stability': 'ST'}
{'file': 'orbit_a0.1800.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 4.0, 'e': 0.0, 'apapse': True, 'm_P (Msun)': 0.028637827019079753, 'l (rad)': 0.0, 'a (AU)': 0.18, 't_stop (day)': 1633478.507816798, 'stability': 'ST'}
{'file': 'orbit_p0.1400.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 4.0, 'e': 0.0, 'apapse': False, 'm_P (Msun)': 0.028637827019079753, 'l (rad)': 1.5707963267948966, 'a (AU)': 0.14, 't_stop (day)': 1633478.507816798, 'stability': 'ST'}
{'file': 'orbit_p0.1500.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 4.0, 'e': 0.0, 'apapse': False, 'm_P (Msun)': 0.028637827019079753, 'l (rad)': 1.5707963267948966, 'a (AU)': 0.15, 't_stop (day)': 1633478.507816798, 'stability': 'ST'}
{'file': 'orbit_p0.1600.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 4.0, 'e': 0.0, 'apapse': False, 'm_P (Msun)': 0.028637827019079753, 'l (rad)': 1.5707963267948966, 'a (AU)': 0.16, 't_stop (day)': 1633478.507816798, 'stability': 'ST'}
