{'file': 'orbit_p0.1500.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.25, 'e': 0.5, 'apapse': False, 'm_P (Msun)': 0.0, 'l (rad)': 0.0, 'a (AU)': 0.15, 't_stop (day)': 3266957.015633596, 'stability': 'ST'}
{'file': 'orbit_p0.1600.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.25, 'e': 0.5, 'apapse': False, 'm_P (Msun)': 0.0, 'l (rad)': 0.0, 'a (AU)': 0.16, 't_stop (day)': 3266957.015633596, 'stability': 'ST'}
{'file': 'orbit_p0.1700.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.25, 'e': 0.5, 'apapse': False, 'm_P (Msun)': 0.0, 'l (rad)': 0.0, 'a (AU)': 0.17, 't_stop (day)': 3266957.015633596, 'stability': 'ST'}
{'file': 'orbit_p0.1800.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.25, 'e': 0.5, 'apapse': False, 'm_P (Msun)': 0.0, 'l (rad)': 0.0, 'a (AU)': 0.18, 't_stop (day)': 132632.92225044128, 'stability': 'CA'}
{'file': 'orbit_a0.1500.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.25, 'e': 0.5, 'apapse': True, 'm_P (Msun)': 0.0, 'l (rad)': 0.0, 'a (AU)': 0.15, 't_stop (day)': 3266957.015633596, 'stability': 'ST'}
{'file': 'orbit_a0.1600.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.25, 'e': 0.5, 'apapse': True, 'm_P (Msun)': 0.0, 'l (rad)': 0.0, 'a (AU)': 0.16, 't_stop (day)': 3266957.015633596, 'stability': 'ST'}
{'file': 'orbit_a0.1700.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.25, 'e': 0.5, 'apapse': True, 'm_P (Msun)': 0.0, 'l (rad)': 0.0, 'a (AU)': 0.17, 't_stop (day)': 643006.1153010387, 'stability': 'EJ'}
{'file': 'orbit_a0.1800.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.25, 'e': 0.5, 'apapse': True, 'm_P (Msun)': 0.0, 'l (rad)': 0.0, 'a (AU)': 0.18, 't_stop (day)': 2400716.9899263405, 'stability': 'CA'}
{'file': 'orbit_p0.1500.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.25, 'e': 0.5, 'apapse': False, 'm_P (Msun)': 0.0, 'l (rad)': 1.5707963267948966, 'a (AU)': 0.15, 't_stop (day)': 3266957.015633596, 'stability': 'ST'}
{'file': 'orbit_p0.1600.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.25, 'e': 0.5, 'apapse': False, 'm_P (Msun)': 0.0, 'l (rad)': 1.5707963267948966, 'a (AU)': 0.16, 't_stop (day)': 3266957.015633596, 'stability': 'ST'}
{'file': 'orbit_p0.1700.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.25, 'e': 0.5, 'apapse': False, 'm_P (Msun)': 0.0, 'l (rad)': 1.5707963267948966, 'a (AU)': 0.17, 't_stop (day)': 1300570.895166574, 'stability': 'CA'}
